word,definition,theme,score_distinct,score_total,flags,target_code,link
조는 집에 자는 며느리 온다,잠꾸러기 집은 잠꾸러기만 모이게 됨을 비유적으로 이르는 말.,health,1,2,,615081,https://opendict.korean.go.kr/dictionary/view?sense_no=615081
조 심은 데 조 나고 콩 심은 데 콩 난다,사람의 씨종자란 아무리 숨길래야 숨길 수 없음을 비유적으로 이르는 말.,health,1,2,sexual:gray,615038,https://opendict.korean.go.kr/dictionary/view?sense_no=615038
죽과 병은 되어야 한다,"죽을 쑬 때 되게 만들어야 좋듯이, 병도 시름시름 오래 앓는 것보다 되게 한 번 앓는 것이 낫다는 말.",health,1,2,violent:gray,605966,https://opendict.korean.go.kr/dictionary/view?sense_no=605966
줄 맞은 병정이라,"대오에 들어서서 줄을 맞추어 구령에 따라 하라는 대로 하는 병정이라는 뜻으로, 조금도 어긋남이 없이 하라는 대로 고분고분 움직이는 대상을 비유적으로 이르는 말.",health,1,2,,614547,https://opendict.korean.go.kr/dictionary/view?sense_no=614547
진상 가는 꿀병[봉물짐] 얽듯,무엇을 소중하게 동여매는 경우를 비유적으로 이르는 말. &lt;동의 속담&gt; ‘진상 가는 꿀병 동이듯’,health,1,2,violent:gray,606169,https://opendict.korean.go.kr/dictionary/view?sense_no=606169
진상 가는 꿀병 동이듯,무엇을 소중하게 동여매는 경우를 비유적으로 이르는 말. &lt;동의 속담&gt; ‘진상 가는 꿀병[봉물짐] 얽듯’,health,1,2,violent:gray,606168,https://opendict.korean.go.kr/dictionary/view?sense_no=606168
질병에도 감홍로,"오지로 된 병에도 감홍로와 같이 좋은 것이 담겼다는 뜻으로, 겉모양은 보잘것없으나 속은 좋고 아름다운 경우를 비유적으로 이르는 말.",health,1,2,,606117,https://opendict.korean.go.kr/dictionary/view?sense_no=606117
찢어진 잠뱅이,살을 가리지 못하고 그대로 드러내 놓은 찢어진 잠방이처럼 제구실을 하지 못하는 존재를 비유적으로 이르는 말.,health,1,2,,606138,https://opendict.korean.go.kr/dictionary/view?sense_no=606138
처남의 댁네 병 보듯,"처남의 아내가 앓는 병에 대하여 가슴 아파하지 않고 대수롭지 않게 여긴다는 뜻으로, 일을 진심으로 하지 않고 건성건성으로 함을 비유적으로 이르는 말.",health,1,2,sexual:gray,606313,https://opendict.korean.go.kr/dictionary/view?sense_no=606313
천리마 꼬리에 쉬파리 따라가듯,"쉬파리가 천리마 꼬리에 붙어서 먼 곳까지 간다는 뜻으로, 자기는 하는 일 없이 남의 덕이나 세력 밑에 붙어 다니며 사는 모양을 비유적으로 이르는 말. &lt;동의 속담&gt;‘말 꼬리에 파리가 천 리 간다’",health,1,2,,615331,https://opendict.korean.go.kr/dictionary/view?sense_no=615331
